,submission_id,title,authors,submission_type,first_author_last_name
232,343,Global Normalization of Convolutional Neural Networks for Joint Entity and Relation Classification,Heike Adel and Hinrich Schütze,Short,adel
270,864,Sparse Communication for Distributed Gradient Descent,Alham Fikri Aji and Kenneth Heafield,Short,aji
313,1416,A Multilayer Perceptron based Ensemble Technique for Fine-grained Financial Sentiment Analysis,"Md Shad Akhtar, Abhishek Kumar, Deepanway Ghosal, Asif Ekbal and Pushpak Bhattacharyya",Short,akhtar
182,1260,A causal framework for explaining the predictions of black-box sequence-to-sequence models,David Alvarez-Melis and Tommi Jaakkola,Long,alvarez-melis
125,916,Repeat before Forgetting: Spaced Repetition for Efficient and Effective Training of Neural Networks,"Hadi Amiri, Timothy Miller and Guergana Savova",Long,amiri
20,169,Guided Open Vocabulary Image Captioning with Constrained Beam Search,"Peter Anderson, Basura Fernando, Mark Johnson and Stephen Gould",Long,anderson
229,300,Analogs of Linguistic Structure in Deep Representations,Jacob Andreas and Dan Klein,Short,andreas
290,1159,Distinguishing Japanese Non-standard Usages from Standard Ones,"Tatsuya Aoki, Ryohei Sasano, Hiroya Takamura and Manadu Okumura",Short,aoki
86,617,Monolingual Phrase Alignment on Parse Forests,Yuki Arase and Jun'ichi Tsujii,Long,arase
164,1131,Identifying Cognate Sets Across Dictionaries of Related Languages,"Adam St Arnaud, David Beck and Grzegorz Kondrak",Long,arnaud
131,963,"Past, Present, Future: A Computational Investigation of the Typology of Tense in 1000 Languages",Ehsaneddin Asgari and Hinrich Schütze,Long,asgari
235,399,Syllable-aware Neural Language Models: A Failure to Beat Character-aware Ones,"Zhenisbek Assylbekov, Rustem Takhanov, Bagdat Myrzakhmetov and Jonathan N. Washington",Short,assylbekov
265,820,AMR Parsing using Stack-LSTMs,Miguel Ballesteros and Yaser Al-Onaizan,Short,ballesteros
256,704,Regularization techniques for fine-tuning in neural machine translation,"Antonio Valerio Miceli Barone, Barry Haddow, Ulrich Germann and Rico Sennrich",Short,barone
84,603,Towards Quantum Language Models,Ivano Basile and Fabio Tamburini,Long,basile
133,971,Graph Convolutional Encoders for Syntax-aware Neural Machine Translation,"Joost Bastings, Ivan Titov, Wilker Aziz, Diego Marcheggiani and Khalil Simaan",Long,bastings
283,1073,"Machine Translation, it's a question of style, innit? The case of English tag questions",Rachel Bawden,Short,bawden
298,1281,Natural Language Processing with Small Feed-Forward Networks,"Jan A. Botha, Emily Pitler, Ji Ma, Anton Bakalov, Alex Salcianu, David Weiss, Ryan McDonald and Slav Petrov",Short,botha
162,1113,Does syntax help discourse segmentation? Not so much,"Chloé Braud, Ophélie Lacroix and Anders Søgaard",Long,braud
151,1046,Efficient Attention using a Fixed-Size Memory Representation,"Denny Britz, Melody Guan and Minh-Thang Luong",Long,britz
168,1157,Exploring Hyperparameter Sensitivity in Neural Machine Translation Architectures,"Denny Britz, Anna Goldie, Minh-Thang Luong and Quoc Le",Long,britz
128,959,"Speaking, Seeing, Understanding: Correlating semantic models with conceptual representation in the brain","Luana Bulat, Stephen Clark and Ekaterina Shutova",Long,bulat
267,836,CRF Autoencoder for Unsupervised Dependency Parsing,"Jiong Cai, Yong Jiang and Kewei Tu",Short,cai
19,163,Incorporating Global Visual Features into Attention-based Neural Machine Translation.,"Iacer Calixto, Qun Liu and Nick Campbell",Long,calixto
215,1501,"Quasi-Second-Order Parsing for 1-Endpoint-Crossing, Pagenumber-2 Graphs","Junjie Cao, Sheng Huang, Weiwei Sun and Xiaojun Wan",Long,cao
318,1443,Predicting Word Association Strengths,Andrew Cattle and Xiaojuan Ma,Short,cattle
200,1376,Importance sampling for unbiased on-demand evaluation of knowledge base population,"Arun Chaganty, Ashwin Paranjape, Percy Liang and Christopher D. Manning",Long,chaganty
261,744,Source-Side Left-to-Right or Target-Side Left-to-Right? An Empirical Comparison of Two Phrase-Based Decoding Algorithms,Yin-Wen Chang and Michael Collins,Short,chang
101,697,Affordable On-line Dialogue Policy Learning,"Cheng Chang, Runzhe Yang, Lu Chen, Xiang Zhou and Kai Yu",Long,chang
166,1138,Story Comprehension for Predicting What Happens Next,"Snigdha Chaturvedi, Haoruo Peng and Dan Roth",Long,chaturvedi
27,215,Recurrent Attention Network on Memory for Aspect Sentiment Analysis,"Peng Chen, Zhongqian Sun, Lidong Bing and Wei Yang",Long,chen
242,538,Neural Machine Translation with Source Dependency Representation,"Kehai Chen, Rui Wang, Masao Utiyama, Lemao Liu, Akihiro Tamura, Eiichiro Sumita and Tiejun Zhao",Short,chen
207,1403,Agent-Aware Dropout DQN for Safe and Efficient On-line Dialogue Policy Learning,"Lu Chen, Xiang Zhou, Cheng Chang, Runzhe Yang and Kai Yu",Long,chen
155,1062,A Factored Neural Network Model for Characterizing Online Discussions in Vector Space,"Hao Cheng, Hao Fang and Mari Ostendorf",Long,cheng
132,970,Event Coreference Resolution by Iteratively Unfolding Inter-dependencies among Events,Prafulla Kumar Choubey and Ruihong Huang,Long,choubey
279,1006,A Sequential Model for Classifying Temporal Relations between Intra-Sentence Events,Prafulla Kumar Choubey and Ruihong Huang,Short,choubey
225,201,Identifying attack and support argumentative relations using deep learning,Oana Cocarascu and Francesca Toni,Short,cocarascu
122,871,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,"Alexis Conneau, Douwe Kiela, Holger Schwenk, Loïc Barrault and Antoine Bordes",Long,conneau
85,614,Efficient Discontinuous Phrase-Structure Parsing via the Generalized Maximum Spanning Arborescence,"Caio Corro, Joseph Le Roux and Mathieu Lacroix",Long,corro
220,127,Paradigm Completion for Derivational Morphology,"Ryan Cotterell, Ekaterina Vylomova, Huda Khayrallah, Christo Kirov and David Yarowsky",Short,cotterell
16,128,Cross-lingual Character-Level Neural Morphological Tagging,Ryan Cotterell and Georg Heigold,Long,cotterell
51,398,Neural Machine Translation Leveraging Phrase-based Models in a Hybrid Search,"Leonard Dahlmann, Evgeny Matusov, Pavel Petrushkov and Shahram Khadivi",Long,dahlmann
48,380,What is the Essence of a Claim? Cross-Domain Claim Identification,"Johannes Daxenberger, Steffen Eger, Ivan Habernal, Christian Stab and Iryna Gurevych",Long,daxenberger
145,1026,An empirical study of the effectiveness of images in Multi-modal Neural Machine Translation,Jean-Benoit Delbrouck and Stéphane Dupont,Long,delbrouck
238,469,Sharp Models on Dull Hardware: Fast and Accurate Neural Machine Translation Decoding on the CPU,Jacob Devlin,Short,devlin
103,714,Multi-View Unsupervised User Feature Embedding for Social Media-based Substance Use Prediction,"Tao Ding, Warren K. Bickel and Shimei Pan",Long,ding
263,794,Using Target-side Monolingual Data for Neural Machine Translation through Multi-task Learning,Tobias Domhan and Felix Hieber,Short,domhan
110,770,Learning to Paraphrase for Question Answering,"Li Dong, Jonathan Mallinson, Siva Reddy and Mirella Lapata",Long,dong
255,696,Capturing User and Product Information for Document Level Sentiment Analysis with Deep Memory Network,Zi-Yi Dou,Short,dou
226,206,Identifying Where to Focus in Reading Comprehension for Neural Question Generation,Xinya Du and Claire Cardie,Short,du
35,294,Question Generation for Question Answering,"Nan Duan, Duyu Tang, Peng Chen and Ming Zhou",Long,duan
